1 ; OF MUCUS PHYSICAL WHAT ARE PATIENTS THE PROPERTIES FROM CALCIUM EFFECTS ON CF
2 ; OF RESPIRATORY MUCUS AND CAN TRACT THE IN HYPERSECRETION INFECTION SUBMUCOSAL DISTINGUISH BETWEEN ONE EFFECTS GLANDS ON CF
3 ; OF HOW GLYCOPROTEINS THOSE ARE PATIENTS SUBJECTS FROM DIFFERENT NORMAL SALIVARY CF
4 ; OF RESPIRATORY WHAT LIPID THE SECRETIONS COMPOSITION CF IS
5 ; ABNORMAL MUCUS CF IS
6 ; OF OTHER CF ELASTICITY AGENTS WHAT WATER THERAPEUTIC PHYSICAL BRONCHIAL PATIENTS THE EFFECT SPUTUM SECRETIONS PROPERTIES VISCOSITY FROM ON OR IS
7 ; COMPARED MUCUS GLYCOPROTEINS THOSE ARE DEGRADED PATIENTS IN TO DIFFERENTLY SUBJECTS AS FROM NORMAL CF
8 ; RESPIRATORY DIFFERENCES WHAT HISTOCHEMICAL EPITHELIA AND HAVE NORMAL BETWEEN DESCRIBED CF BEEN
9 ; ASSOCIATION DISEASE LIVER WHAT METABOLISM AND THE IN CIRRHOSIS BETWEEN VITAMIN CF IS
10 ; OF CF WHAT WITH PATIENTS THE ROLE IN VITAMIN THERAPY IS
11 ; WHAT AND DIFFERENCE THE SYNDROME PLUG BETWEEN ILEUS MECONIUM IS
12 ; OF AMINO WHAT ACID PATIENTS IN THE TRANSPORT HAVE SMALL BOWEL ABNORMALITIES DESCRIBED CF BEEN
13 ; OF PANCREATITIS WHAT ARE PATIENTS THE IN FEATURES CLINICAL BIOCHEMICAL CF OR
14 ; OF PERFORMED EVALUATION TESTS WHAT PANCREATIC EXOCRINE WITH CAN PATIENTS THE IN FOR BE FUNCTION CF NON-INVASIVE
15 ; OF WHAT ARE HEPATIC THE COMPLICATIONS CF OR MANIFESTATIONS
16 ; OF NEONATAL GASTROINTESTINAL LIVER WHAT ARE AFTER AND THE COMPLICATIONS PERIOD EXCLUDE MECONIUM CF ILEUS DISEASE
